iter	RMSE
0	0.1613127658
1	0.1611564494
2	0.1610207502
3	0.1609046975
4	0.1607944761
5	0.1607160008
6	0.1606305749
7	0.1605511808
8	0.160479355
9	0.1604191052
10	0.1603601821
11	0.1603114979
12	0.1602596665
13	0.1602097649
14	0.1601656622
15	0.1601212932
16	0.1600821301
17	0.1600384741
18	0.1600026669
19	0.159972349
20	0.1599370731
21	0.1599119525
22	0.1598866693
23	0.159860007
24	0.1598346418
25	0.1598025733
26	0.1597763818
27	0.159751157
28	0.1597302121
29	0.1597057042
30	0.1596804547
31	0.1596584916
32	0.1596390453
33	0.1596155115
34	0.1595922923
35	0.1595703641
36	0.1595536074
37	0.1595271988
38	0.1595090168
39	0.1594879438
40	0.1594711593
41	0.1594526217
42	0.1594382908
43	0.1594233953
44	0.1594057486
45	0.1593909784
46	0.1593736728
47	0.1593576895
48	0.1593435832
49	0.159331879
50	0.159318189
51	0.1593062217
52	0.1592947183
53	0.1592820694
54	0.1592667803
55	0.1592484436
56	0.1592397728
57	0.1592268862
58	0.1592140338
59	0.1592008133
60	0.1591822831
61	0.1591669053
62	0.1591487943
63	0.1591409296
64	0.1591326727
65	0.1591229045
66	0.1591069599
67	0.1590882209
68	0.1590788161
69	0.1590719559
70	0.1590672887
71	0.1590532975
72	0.159040723
73	0.1590286628
74	0.1590179164
75	0.1590018204
76	0.1589886684
77	0.1589774444
78	0.1589660626
79	0.1589569771
80	0.1589468067
81	0.1589338968
82	0.158923453
83	0.1589135098
84	0.1589022288
85	0.1588906731
86	0.1588861197
87	0.1588745504
88	0.1588701444
89	0.1588639387
90	0.1588610546
91	0.1588453362
92	0.1588313904
93	0.1588265326
94	0.1588138457
95	0.1588010817
96	0.1587953992
97	0.1587907954
98	0.1587784156
99	0.1587700295
100	0.1587570072
101	0.1587494314
102	0.1587459299
103	0.1587316241
104	0.158720172
105	0.1587109015
106	0.1587060642
107	0.1586981497
108	0.1586929726
109	0.1586790423
110	0.1586758765
111	0.1586724645
112	0.1586711236
113	0.1586668378
114	0.158648841
115	0.1586466896
116	0.1586385424
117	0.1586321315
118	0.1586261273
119	0.1586204043
120	0.1586049248
121	0.1585980741
122	0.1585862852
123	0.1585806474
124	0.1585705978
125	0.1585666064
126	0.1585608486
127	0.1585563211
128	0.1585530299
129	0.1585429474
130	0.1585306881
131	0.1585268068
132	0.1585136848
133	0.1585073728
134	0.1584982931
135	0.1584890557
136	0.158483278
137	0.158470993
138	0.1584622296
139	0.1584577566
140	0.1584528185
141	0.158440549
142	0.1584303911
143	0.1584171837
144	0.1583979669
145	0.1583908918
146	0.1583886089
147	0.1583794245
148	0.1583768733
149	0.1583649881
150	0.1583558406
151	0.1583494862
152	0.1583440201
153	0.1583377166
154	0.1583273767
155	0.1583136606
156	0.1583085532
157	0.1583025942
158	0.15829797
159	0.1582899046
160	0.1582803587
161	0.1582785415
162	0.158266766
163	0.1582567887
164	0.1582466301
165	0.1582377057
166	0.1582259671
167	0.1582243622
168	0.1582190663
169	0.1582156353
170	0.158200133
171	0.1581871364
172	0.1581783101
173	0.1581640496
174	0.1581625247
175	0.1581517105
176	0.1581463567
177	0.158135246
178	0.1581340318
179	0.1581326427
180	0.1581317962
181	0.1581250922
182	0.1581156503
183	0.1581028075
184	0.15808781
185	0.1580823025
186	0.1580688867
187	0.158061515
188	0.1580484282
189	0.1580345486
190	0.158025555
191	0.1580126467
192	0.1580047621
193	0.1579975263
194	0.1579903558
