iter	Passed	Remaining
0	13	2705
1	29	2802
2	43	2807
3	59	2832
4	75	2869
5	90	2847
6	105	2833
7	120	2825
8	135	2797
9	150	2778
10	165	2773
11	180	2759
12	195	2741
13	210	2718
14	225	2701
15	240	2690
16	256	2682
17	272	2680
18	287	2662
19	308	2701
20	344	2856
21	361	2841
22	381	2851
23	399	2844
24	415	2823
25	431	2802
26	445	2773
27	461	2753
28	476	2728
29	491	2704
30	506	2677
31	522	2660
32	537	2637
33	553	2622
34	567	2595
35	584	2580
36	599	2557
37	614	2540
38	630	2523
39	644	2496
40	659	2477
41	673	2454
42	687	2431
43	702	2409
44	717	2392
45	732	2371
46	746	2350
47	761	2332
48	789	2353
49	820	2378
50	833	2353
51	847	2329
52	862	2312
53	877	2291
54	891	2270
55	906	2251
56	921	2231
57	950	2244
58	962	2219
59	979	2203
60	996	2188
61	1011	2170
62	1027	2152
63	1042	2133
64	1057	2114
65	1072	2096
66	1089	2080
67	1104	2062
68	1119	2044
69	1134	2026
70	1147	2004
71	1163	1987
72	1178	1968
73	1194	1953
74	1209	1935
75	1225	1918
76	1241	1902
77	1256	1884
78	1271	1867
79	1285	1847
80	1299	1828
81	1315	1812
82	1330	1795
83	1343	1775
84	1358	1758
85	1372	1740
86	1385	1720
87	1401	1703
88	1414	1685
89	1427	1665
90	1440	1646
91	1456	1630
92	1472	1614
93	1485	1595
94	1497	1576
95	1513	1560
96	1528	1544
97	1542	1526
98	1558	1510
99	1572	1494
100	1586	1476
101	1601	1460
102	1614	1442
103	1628	1424
104	1642	1408
105	1657	1391
106	1671	1374
107	1686	1358
108	1699	1340
109	1714	1324
110	1725	1306
111	1737	1287
112	1751	1270
113	1765	1254
114	1780	1238
115	1793	1221
116	1809	1206
117	1823	1189
118	1836	1172
119	1853	1158
120	1867	1141
121	1881	1125
122	1895	1109
123	1909	1093
124	1923	1076
125	1937	1061
126	1950	1044
127	1963	1027
128	1975	1010
129	1990	995
130	2006	980
131	2020	964
132	2035	948
133	2049	933
134	2065	918
135	2081	903
136	2097	888
137	2114	873
138	2129	857
139	2143	842
140	2157	826
141	2172	810
142	2187	795
143	2201	779
144	2215	763
145	2229	748
146	2241	732
147	2256	716
148	2269	700
149	2284	685
150	2298	669
151	2312	654
152	2327	638
153	2342	623
154	2358	608
155	2375	593
156	2391	578
157	2403	562
158	2415	546
159	2428	531
160	2441	515
161	2452	499
162	2468	484
163	2483	469
164	2497	454
165	2512	438
166	2527	423
167	2539	408
168	2552	392
169	2566	377
170	2581	362
171	2595	347
172	2609	331
173	2623	316
174	2635	301
175	2649	286
176	2662	270
177	2681	256
178	2696	241
179	2709	225
180	2725	210
181	2739	195
182	2753	180
183	2769	165
184	2785	150
185	2800	135
186	2816	120
187	2830	105
188	2844	90
189	2859	75
190	2872	60
191	2888	45
192	2901	30
193	2915	15
194	2929	0
